"[75, 20, 57, 63, 80, 92, 44, 0, 85, 70, 17, 3, 29, 5, 1, 31, 0, 11, 14, 91, 26, 97, 36, 82, 72, 0, 96, 42, 24, 30, 66, 62, 43, 46, 0, 54, 71, 65, 0, 23, 76, 49, 16, 99, 61, 0, 50, 28, 53, 83, 56, 0, 95, 60, 34, 74, 94, 73, 0, 88, 77, 84, 64, 27, 7, 0, 98, 41, 38, 51, 21, 86, 0, 81, 19, 79, 2, 47, 0, 18, 45, 89, 48, 15, 0, 78, 37, 52, 9, 4, 0, 6, 90, 13, 12, 67, 0, 59, 68, 33, 10, 0, 55, 93, 58, 22, 100, 0, 39, 69, 32, 35, 25, 0, 40, 87, 8, 0, 0, 0, 0, 0]"
"[59, 76, 49, 21, 18, 45, 46, 0, 71, 87, 39, 81, 22, 25, 0, 9, 20, 94, 30, 5, 56, 79, 14, 0, 95, 50, 74, 78, 68, 61, 67, 53, 32, 0, 89, 91, 85, 65, 8, 51, 0, 69, 31, 63, 47, 15, 13, 48, 64, 0, 88, 77, 19, 92, 84, 86, 0, 36, 70, 96, 0, 82, 55, 23, 43, 24, 0, 98, 27, 90, 93, 7, 1, 58, 0, 29, 42, 4, 34, 0, 73, 62, 12, 2, 10, 38, 37, 72, 0, 75, 44, 80, 97, 100, 33, 0, 66, 41, 26, 11, 60, 6, 0, 52, 40, 3, 28, 0, 83, 16, 54, 0, 35, 57, 99, 0, 17, 0, 0, 0, 0, 0]"
"[77, 62, 14, 86, 66, 43, 88, 0, 6, 49, 58, 32, 20, 24, 56, 0, 40, 15, 3, 10, 92, 30, 13, 59, 65, 0, 85, 23, 29, 81, 89, 72, 0, 57, 87, 55, 69, 61, 95, 99, 0, 1, 74, 2, 70, 22, 91, 11, 0, 76, 37, 98, 96, 82, 68, 73, 75, 0, 79, 36, 100, 33, 94, 28, 19, 71, 0, 52, 39, 83, 25, 0, 9, 80, 5, 44, 53, 64, 42, 0, 27, 50, 51, 34, 17, 38, 0, 12, 4, 47, 8, 0, 97, 84, 78, 45, 0, 93, 63, 41, 48, 90, 0, 35, 67, 16, 31, 7, 0, 18, 26, 60, 46, 21, 0, 54, 0, 0, 0, 0, 0, 0]"
"[48, 89, 69, 32, 95, 33, 15, 17, 0, 68, 82, 44, 81, 77, 5, 20, 14, 0, 30, 21, 19, 8, 49, 70, 0, 78, 91, 99, 96, 80, 64, 31, 0, 36, 10, 38, 100, 84, 57, 29, 45, 0, 41, 55, 60, 76, 34, 0, 58, 83, 46, 37, 2, 93, 40, 63, 0, 54, 27, 39, 35, 52, 61, 1, 0, 86, 72, 85, 88, 50, 0, 94, 53, 42, 26, 90, 98, 0, 62, 12, 56, 22, 0, 51, 97, 74, 65, 59, 23, 0, 9, 75, 24, 0, 67, 66, 92, 11, 0, 87, 43, 4, 71, 47, 3, 0, 28, 7, 18, 0, 73, 79, 0, 13, 0, 6, 25, 16, 0, 0, 0, 0]"
"[11, 28, 39, 62, 32, 68, 0, 86, 78, 95, 42, 26, 12, 0, 13, 93, 84, 77, 97, 98, 1, 52, 72, 0, 37, 44, 87, 55, 99, 0, 60, 29, 53, 2, 0, 61, 73, 83, 65, 20, 51, 25, 0, 19, 36, 54, 75, 9, 38, 0, 96, 8, 47, 15, 66, 94, 100, 40, 63, 33, 0, 59, 46, 45, 71, 17, 27, 0, 81, 74, 57, 43, 30, 56, 0, 22, 5, 85, 79, 24, 0, 16, 90, 14, 18, 49, 35, 0, 3, 34, 80, 7, 91, 0, 69, 23, 4, 76, 41, 0, 70, 58, 67, 92, 0, 10, 89, 88, 0, 48, 82, 50, 6, 0, 64, 21, 0, 31, 0, 0, 0, 0]"
"[48, 52, 4, 10, 85, 3, 50, 0, 73, 59, 60, 44, 23, 40, 0, 77, 15, 65, 67, 13, 70, 94, 64, 0, 45, 99, 68, 6, 19, 32, 56, 35, 0, 26, 63, 47, 7, 75, 0, 81, 69, 86, 55, 51, 0, 34, 21, 54, 29, 92, 20, 100, 0, 41, 57, 33, 25, 49, 97, 0, 93, 89, 28, 2, 17, 46, 5, 0, 31, 62, 24, 37, 87, 80, 0, 53, 96, 71, 98, 0, 82, 78, 1, 11, 16, 83, 0, 90, 8, 88, 18, 91, 74, 72, 0, 9, 84, 66, 0, 58, 61, 30, 0, 76, 38, 27, 36, 43, 0, 42, 14, 0, 39, 79, 12, 0, 22, 95, 0, 0, 0, 0]"
"[9, 53, 63, 23, 57, 15, 83, 92, 65, 72, 0, 99, 22, 55, 18, 42, 50, 25, 0, 44, 88, 32, 78, 60, 8, 0, 30, 76, 34, 73, 20, 48, 52, 0, 27, 5, 56, 54, 94, 10, 0, 61, 85, 100, 11, 64, 84, 3, 58, 0, 38, 35, 46, 81, 6, 0, 97, 75, 77, 66, 51, 95, 4, 0, 82, 68, 96, 1, 37, 41, 0, 19, 24, 62, 26, 17, 0, 28, 70, 89, 13, 80, 86, 21, 0, 7, 29, 71, 14, 59, 47, 0, 33, 39, 16, 69, 0, 43, 74, 91, 0, 40, 31, 67, 2, 49, 93, 0, 36, 12, 0, 90, 45, 0, 98, 0, 87, 0, 79, 0, 0, 0]"
"[20, 94, 77, 84, 27, 86, 23, 0, 65, 57, 46, 56, 93, 70, 62, 59, 0, 22, 72, 39, 98, 90, 43, 26, 15, 79, 0, 38, 10, 2, 73, 29, 0, 3, 95, 88, 61, 100, 68, 4, 0, 74, 53, 21, 51, 33, 0, 82, 99, 7, 67, 31, 0, 48, 11, 47, 17, 91, 36, 41, 87, 0, 30, 40, 83, 1, 54, 12, 6, 0, 42, 78, 52, 37, 19, 0, 80, 44, 89, 66, 50, 55, 0, 69, 14, 9, 60, 96, 58, 8, 0, 92, 64, 63, 0, 45, 34, 81, 75, 25, 16, 0, 97, 24, 71, 85, 32, 49, 0, 28, 35, 0, 5, 18, 0, 13, 76, 0, 0, 0, 0, 0]"
"[99, 23, 6, 13, 2, 41, 71, 59, 0, 28, 80, 100, 78, 93, 74, 42, 0, 52, 61, 49, 79, 11, 31, 53, 60, 0, 5, 64, 94, 17, 16, 90, 0, 57, 38, 1, 21, 37, 3, 18, 0, 8, 22, 76, 29, 0, 51, 62, 91, 56, 24, 84, 0, 95, 43, 97, 40, 19, 75, 0, 10, 67, 27, 68, 55, 54, 0, 46, 30, 50, 86, 33, 4, 88, 85, 0, 63, 58, 77, 83, 45, 12, 0, 82, 73, 44, 34, 87, 0, 65, 70, 35, 92, 96, 0, 25, 66, 26, 98, 0, 48, 36, 39, 15, 0, 89, 7, 0, 47, 81, 0, 20, 9, 72, 0, 69, 32, 0, 14, 0, 0, 0]"
"[33, 61, 3, 51, 97, 50, 64, 74, 0, 59, 20, 25, 19, 72, 14, 82, 0, 22, 76, 81, 58, 7, 99, 48, 27, 0, 41, 9, 2, 75, 42, 47, 0, 77, 70, 60, 15, 78, 0, 32, 57, 23, 53, 89, 79, 62, 6, 0, 31, 37, 8, 65, 86, 71, 0, 16, 40, 44, 88, 52, 56, 54, 13, 84, 0, 49, 93, 35, 98, 87, 90, 34, 0, 1, 4, 5, 21, 43, 92, 38, 0, 83, 45, 100, 55, 0, 85, 28, 26, 29, 10, 36, 0, 80, 96, 67, 11, 0, 46, 17, 30, 69, 18, 95, 0, 94, 68, 66, 91, 0, 12, 63, 39, 73, 24, 0, 0, 0, 0, 0, 0, 0]"
