"[3, 33, 24, 40, 41, 2, 0, 50, 31, 20, 1, 43, 0, 26, 30, 36, 42, 49, 48, 0, 22, 46, 6, 37, 0, 14, 25, 13, 27, 5, 0, 47, 16, 17, 8, 38, 7, 0, 9, 34, 21, 11, 0, 4, 29, 32, 0, 19, 28, 45, 23, 0, 35, 15, 39, 0, 12, 44, 0, 10, 18, 0, 0, 0, 0]"
"[18, 28, 40, 34, 21, 0, 23, 42, 26, 22, 17, 13, 0, 19, 20, 37, 32, 0, 6, 44, 16, 47, 0, 39, 33, 25, 41, 48, 50, 31, 0, 38, 2, 35, 9, 0, 14, 24, 46, 1, 43, 0, 4, 7, 11, 36, 3, 27, 45, 0, 30, 29, 8, 15, 0, 5, 12, 0, 49, 10, 0, 0, 0, 0, 0]"
"[41, 31, 2, 16, 12, 32, 1, 22, 0, 24, 40, 38, 26, 18, 7, 46, 0, 9, 28, 19, 34, 0, 33, 27, 17, 0, 21, 29, 39, 15, 8, 0, 25, 36, 44, 23, 10, 0, 49, 43, 11, 35, 14, 0, 50, 3, 48, 13, 6, 0, 37, 47, 4, 0, 5, 30, 20, 0, 42, 45, 0, 0, 0, 0, 0]"
"[3, 29, 31, 50, 19, 0, 18, 43, 13, 37, 36, 6, 1, 0, 41, 28, 20, 4, 0, 34, 9, 21, 42, 0, 8, 16, 45, 22, 27, 30, 0, 32, 44, 46, 0, 33, 10, 38, 25, 5, 15, 47, 0, 24, 23, 12, 40, 7, 11, 0, 2, 26, 39, 49, 0, 35, 14, 0, 17, 48, 0, 0, 0, 0, 0]"
"[18, 13, 48, 43, 40, 19, 24, 0, 37, 46, 28, 0, 49, 29, 44, 30, 0, 8, 21, 45, 42, 22, 11, 0, 27, 41, 20, 14, 4, 17, 0, 47, 10, 15, 12, 7, 23, 0, 6, 31, 36, 16, 0, 50, 34, 2, 0, 32, 38, 25, 5, 39, 0, 35, 9, 0, 26, 33, 0, 1, 0, 3, 0, 0, 0]"
"[42, 29, 2, 47, 48, 12, 0, 18, 19, 20, 21, 0, 8, 10, 28, 17, 26, 9, 30, 32, 0, 50, 5, 1, 27, 33, 3, 0, 6, 46, 0, 35, 45, 14, 40, 0, 7, 43, 23, 44, 41, 31, 39, 0, 24, 49, 0, 37, 4, 22, 25, 11, 0, 34, 36, 0, 13, 15, 16, 0, 38, 0, 0, 0, 0]"
"[32, 37, 10, 35, 13, 0, 29, 34, 45, 19, 44, 0, 28, 47, 31, 48, 0, 23, 11, 22, 46, 15, 0, 1, 8, 12, 6, 0, 4, 14, 9, 21, 25, 0, 33, 24, 49, 5, 20, 38, 0, 42, 3, 16, 36, 50, 0, 43, 41, 2, 30, 27, 40, 7, 0, 39, 17, 26, 0, 18, 0, 0, 0, 0, 0]"
"[16, 6, 20, 41, 11, 0, 28, 10, 42, 33, 40, 13, 17, 0, 50, 45, 44, 21, 26, 0, 24, 34, 2, 1, 7, 0, 37, 4, 48, 8, 9, 46, 0, 14, 30, 12, 0, 32, 5, 49, 47, 39, 0, 19, 3, 23, 35, 27, 0, 22, 36, 25, 0, 38, 31, 29, 0, 18, 15, 0, 43, 0, 0, 0, 0]"
"[13, 37, 22, 20, 21, 25, 31, 39, 0, 2, 32, 47, 48, 29, 0, 5, 6, 26, 41, 0, 9, 43, 19, 27, 1, 16, 0, 30, 49, 46, 24, 7, 0, 45, 4, 38, 0, 10, 33, 17, 36, 50, 0, 34, 23, 35, 11, 0, 40, 12, 28, 0, 18, 44, 0, 14, 8, 0, 3, 15, 0, 42, 0, 0, 0]"
"[5, 3, 13, 27, 37, 0, 38, 11, 44, 8, 46, 20, 0, 23, 22, 26, 45, 30, 1, 0, 41, 4, 15, 28, 19, 42, 0, 12, 25, 32, 31, 0, 49, 18, 40, 14, 0, 24, 10, 2, 7, 17, 33, 0, 43, 34, 35, 0, 47, 0, 21, 16, 29, 0, 36, 9, 6, 0, 48, 50, 39, 0, 0, 0, 0]"
"[8, 18, 16, 30, 3, 0, 35, 9, 20, 13, 1, 40, 0, 49, 15, 25, 7, 0, 45, 44, 43, 19, 23, 2, 36, 0, 48, 11, 6, 50, 32, 0, 46, 28, 42, 17, 0, 5, 10, 24, 22, 0, 26, 33, 21, 4, 0, 41, 37, 31, 0, 27, 14, 29, 0, 34, 47, 0, 39, 12, 0, 38, 0, 0, 0]"
"[16, 34, 36, 29, 0, 30, 15, 4, 12, 0, 44, 39, 41, 27, 48, 0, 10, 6, 17, 50, 37, 13, 40, 0, 19, 31, 24, 1, 46, 0, 9, 33, 43, 25, 11, 49, 0, 5, 45, 22, 18, 28, 38, 0, 26, 32, 14, 21, 47, 42, 0, 8, 20, 2, 3, 0, 35, 7, 23, 0, 0, 0, 0, 0, 0]"
"[50, 12, 3, 24, 11, 20, 0, 49, 44, 21, 5, 0, 42, 41, 1, 6, 22, 0, 19, 38, 32, 2, 0, 33, 28, 25, 18, 46, 40, 0, 43, 14, 37, 26, 0, 23, 47, 45, 27, 0, 13, 4, 9, 36, 15, 7, 0, 16, 39, 30, 29, 0, 48, 31, 34, 35, 0, 8, 10, 0, 17, 0, 0, 0, 0]"
"[48, 26, 41, 13, 42, 0, 4, 44, 1, 2, 49, 17, 6, 30, 0, 37, 33, 25, 43, 5, 31, 0, 8, 23, 10, 46, 0, 14, 7, 34, 38, 15, 0, 19, 27, 12, 45, 3, 36, 0, 29, 11, 47, 0, 32, 20, 22, 39, 28, 0, 16, 9, 0, 18, 50, 24, 40, 0, 21, 0, 35, 0, 0, 0, 0]"
"[22, 19, 42, 23, 0, 14, 47, 30, 26, 31, 0, 50, 27, 1, 17, 46, 38, 11, 0, 44, 15, 10, 34, 20, 0, 49, 33, 2, 0, 41, 37, 16, 9, 13, 32, 0, 28, 12, 3, 45, 18, 40, 0, 6, 48, 36, 0, 21, 35, 5, 8, 0, 29, 4, 0, 24, 39, 25, 7, 0, 43, 0, 0, 0, 0]"
"[18, 20, 19, 41, 0, 14, 28, 25, 23, 7, 13, 0, 44, 43, 22, 45, 21, 0, 32, 34, 48, 30, 0, 3, 31, 46, 37, 27, 40, 29, 0, 1, 38, 36, 33, 0, 24, 11, 17, 12, 4, 0, 5, 15, 42, 2, 50, 0, 16, 0, 35, 47, 49, 8, 0, 9, 39, 0, 26, 10, 0, 6, 0, 0, 0]"
"[48, 27, 17, 24, 10, 3, 32, 0, 19, 40, 37, 33, 45, 0, 4, 46, 8, 11, 22, 0, 50, 34, 44, 21, 23, 49, 0, 42, 14, 36, 39, 25, 0, 16, 7, 15, 31, 26, 0, 9, 29, 35, 43, 18, 41, 0, 38, 28, 2, 20, 0, 13, 12, 0, 30, 6, 0, 5, 0, 47, 1, 0, 0, 0, 0]"
"[14, 34, 27, 3, 15, 7, 0, 45, 42, 18, 9, 23, 31, 39, 0, 2, 43, 1, 19, 0, 26, 35, 17, 11, 46, 0, 4, 48, 40, 36, 0, 38, 50, 37, 0, 24, 20, 44, 16, 0, 30, 49, 22, 0, 13, 10, 25, 0, 32, 8, 41, 28, 5, 0, 6, 47, 29, 12, 0, 21, 33, 0, 0, 0, 0]"
"[37, 38, 25, 35, 6, 0, 14, 9, 7, 45, 12, 0, 46, 18, 32, 24, 10, 11, 30, 0, 1, 17, 5, 15, 4, 36, 21, 0, 44, 29, 50, 33, 0, 48, 42, 40, 28, 0, 3, 23, 41, 2, 0, 26, 27, 8, 20, 43, 0, 19, 22, 31, 16, 34, 0, 49, 39, 13, 47, 0, 0, 0, 0, 0, 0]"
"[3, 26, 38, 7, 25, 0, 14, 19, 28, 2, 22, 6, 13, 44, 0, 43, 50, 4, 31, 0, 46, 41, 40, 27, 49, 23, 0, 45, 1, 8, 9, 5, 0, 15, 34, 20, 42, 33, 24, 17, 0, 10, 36, 0, 11, 16, 30, 32, 37, 0, 18, 29, 21, 12, 0, 48, 39, 35, 0, 47, 0, 0, 0, 0, 0]"
"[41, 17, 6, 24, 42, 10, 0, 11, 26, 5, 33, 44, 0, 34, 32, 39, 31, 2, 0, 8, 18, 29, 9, 38, 0, 46, 22, 23, 36, 14, 4, 27, 0, 43, 47, 37, 13, 19, 16, 0, 48, 15, 35, 1, 0, 28, 50, 49, 20, 0, 3, 40, 21, 30, 12, 0, 25, 7, 45, 0, 0, 0, 0, 0, 0]"
"[28, 44, 27, 8, 24, 29, 0, 21, 39, 17, 30, 50, 0, 14, 32, 26, 15, 1, 5, 0, 12, 10, 31, 48, 0, 42, 40, 47, 19, 49, 0, 34, 36, 2, 20, 13, 16, 0, 23, 46, 33, 41, 25, 0, 43, 4, 11, 7, 45, 0, 3, 9, 18, 0, 38, 22, 0, 37, 0, 6, 35, 0, 0, 0, 0]"
"[40, 46, 34, 21, 32, 7, 0, 38, 22, 9, 18, 35, 0, 24, 47, 44, 41, 27, 3, 31, 0, 30, 5, 39, 50, 1, 11, 0, 14, 10, 23, 20, 36, 37, 0, 12, 29, 15, 16, 2, 0, 28, 13, 25, 42, 0, 33, 4, 43, 17, 6, 0, 49, 48, 26, 0, 19, 45, 0, 8, 0, 0, 0, 0, 0]"
"[35, 5, 1, 11, 13, 26, 3, 0, 18, 50, 36, 27, 38, 23, 0, 41, 42, 32, 17, 0, 14, 29, 48, 0, 28, 34, 24, 46, 25, 37, 0, 16, 15, 4, 30, 0, 43, 33, 0, 39, 49, 31, 20, 9, 22, 8, 0, 44, 45, 6, 2, 0, 47, 40, 19, 0, 7, 0, 21, 10, 12, 0, 0, 0, 0]"
